date,close,volume,Name
10/21/14,161.16,602862,RL
10/22/14,160.57,476840,RL
10/23/14,161.18,727821,RL
10/24/14,160.25,1148865,RL
10/27/14,161.35,1071905,RL
10/28/14,160.92,1167695,RL
10/29/14,164.78,536220,RL
10/30/14,173.17,746806,RL
10/31/14,164.84,908499,RL
11/3/14,165.68,684913,RL
11/4/14,164.15,718152,RL
11/5/14,164.78,536220,RL
11/6/14,171.39,872815,RL
11/7/14,174,1387398,RL
11/10/14,171.92,761995,RL
11/11/14,171.07,657706,RL
11/12/14,172.93,839424,RL
11/13/14,173.17,746806,RL
11/14/14,174.24,727355,RL
11/17/14,176.05,805072,RL
11/18/14,176.56,723652,RL
11/19/14,179.66,948797,RL
11/20/14,179.78,1038634,RL
11/21/14,180.05,944992,RL
11/24/14,181.32,605148,RL
11/25/14,182.64,857626,RL
11/26/14,182.07,501554,RL
11/28/14,184.9,511037,RL
12/1/14,181.28,1002764,RL
12/2/14,180.58,630834,RL
12/3/14,183.28,634024,RL
12/4/14,183.16,908266,RL
12/5/14,183.3,553638,RL
12/8/14,183.08,725776,RL
12/9/14,182.44,543929,RL
12/10/14,180.1,596440,RL
12/11/14,180.92,600709,RL
12/12/14,181.64,817288,RL
12/15/14,180.03,901288,RL
12/16/14,176.6,786748,RL
12/17/14,179.2,808516,RL
12/18/14,180.59,827801,RL
12/19/14,178.82,905478,RL
12/22/14,180.23,659132,RL
12/23/14,183.65,726982,RL
12/24/14,184.35,345437,RL
12/26/14,185.12,400146,RL
12/29/14,186.73,532216,RL
12/30/14,186.23,382389,RL
12/31/14,185.16,461703,RL
1/2/15,183.1,504270,RL
1/5/15,177.88,1765039,RL
1/6/15,174.41,1490128,RL
1/7/15,178.78,620386,RL
1/8/15,178.57,793597,RL
1/9/15,175.99,749223,RL
1/12/15,174.42,1003248,RL
1/13/15,173.64,923372,RL
1/14/15,172.3,774513,RL
1/15/15,169.46,532479,RL
1/16/15,170.05,1250084,RL
1/20/15,168.22,1083189,RL
1/21/15,169.52,744342,RL
1/22/15,170.83,1208441,RL
1/23/15,168.77,956239,RL
1/26/15,169.29,1030718,RL
